Date,Close
1/3/2012,11.13
1/4/2012,11.3
1/5/2012,11.59
1/6/2012,11.71
1/9/2012,11.8
1/10/2012,11.8
1/11/2012,12.07
1/12/2012,12.14
1/13/2012,12.04
1/17/2012,12.02
1/18/2012,12.34
1/19/2012,12.61
1/20/2012,12.59
1/23/2012,12.66
1/24/2012,12.82
1/25/2012,12.93
1/26/2012,12.79
1/27/2012,12.21
1/30/2012,12.29
1/31/2012,12.42
2/1/2012,12.33
2/2/2012,12.26
2/3/2012,12.79
2/6/2012,12.96
2/7/2012,12.88
2/8/2012,12.84
2/9/2012,12.69
2/10/2012,12.44
2/13/2012,12.54
2/14/2012,12.48
2/15/2012,12.38
2/16/2012,12.74
2/17/2012,12.75
2/21/2012,12.53
2/22/2012,12.28
2/23/2012,12.4
2/24/2012,12.23
2/27/2012,12.3
2/28/2012,12.25
2/29/2012,12.38
3/1/2012,12.66
3/2/2012,12.72
3/5/2012,12.46
3/6/2012,12.09
3/7/2012,12.24
3/8/2012,12.46
3/9/2012,12.58
3/12/2012,12.43
3/13/2012,12.7
3/14/2012,12.88
3/15/2012,12.9
3/16/2012,12.51
3/19/2012,12.63
3/20/2012,12.54
3/21/2012,12.57
3/22/2012,12.32
3/23/2012,12.32
3/26/2012,12.48
3/27/2012,12.32
3/28/2012,12.32
3/29/2012,12.5
3/30/2012,12.48
4/2/2012,12.62
4/3/2012,12.64
4/4/2012,12.51
4/5/2012,12.47
4/9/2012,12.22
4/10/2012,11.79
4/11/2012,11.91
4/12/2012,12.07
4/13/2012,11.92
4/16/2012,11.88
4/17/2012,11.91
4/18/2012,11.79
4/19/2012,11.66
4/20/2012,11.41
4/23/2012,11.35
4/24/2012,11.39
4/25/2012,11.73
4/26/2012,11.87
4/27/2012,11.6
4/30/2012,11.28
5/1/2012,11.23
5/2/2012,11.1
5/3/2012,10.92
5/4/2012,10.67
5/7/2012,10.66
5/8/2012,10.61
5/9/2012,10.69
5/10/2012,10.71
5/11/2012,10.58
5/14/2012,10.32
5/15/2012,10.15
5/16/2012,10.16
5/17/2012,10.01
5/18/2012,10.01
5/21/2012,10.2
5/22/2012,10.19
5/23/2012,10.41
5/24/2012,10.59
5/25/2012,10.6
5/29/2012,10.84
5/30/2012,10.66
5/31/2012,10.56
6/1/2012,10.12
6/4/2012,10.04
6/5/2012,10.19
6/6/2012,10.57
6/7/2012,10.55
6/8/2012,10.66
6/11/2012,10.45
6/12/2012,10.5
6/13/2012,10.3
6/14/2012,10.41
6/15/2012,10.35
6/18/2012,10.34
6/19/2012,10.56
6/20/2012,10.65
6/21/2012,10.27
6/22/2012,10.19
6/25/2012,10.01
6/26/2012,10.01
6/27/2012,10.02
6/28/2012,10.09
6/29/2012,9.59
7/2/2012,9.39
7/3/2012,9.6
7/5/2012,9.57
7/6/2012,9.5
7/9/2012,9.45
7/10/2012,9.35
7/11/2012,9.33
7/12/2012,9.13
7/13/2012,9.27
7/16/2012,9.26
7/17/2012,9.34
7/18/2012,9.38
7/19/2012,9.35
7/20/2012,9.21
7/23/2012,9.17
7/24/2012,9.06
7/25/2012,8.97
7/26/2012,8.96
7/27/2012,9
7/30/2012,9.1
7/31/2012,9.24
8/1/2012,9.04
8/2/2012,8.92
8/3/2012,9.09
8/6/2012,9.15
8/7/2012,9.31
8/8/2012,9.35
8/9/2012,9.34
8/10/2012,9.35
8/13/2012,9.4
8/14/2012,9.44
8/15/2012,9.49
8/16/2012,9.59
8/17/2012,9.63
8/20/2012,9.63
8/21/2012,9.53
8/22/2012,9.49
8/23/2012,9.45
8/24/2012,9.49
8/27/2012,9.39
8/28/2012,9.34
8/29/2012,9.32
8/30/2012,9.31
8/31/2012,9.34
9/4/2012,9.41
9/5/2012,9.57
9/6/2012,9.92
9/7/2012,10.14
9/10/2012,10.11
9/11/2012,10.15
9/12/2012,10.21
9/13/2012,10.34
9/14/2012,10.53
9/17/2012,10.39
9/18/2012,10.42
9/19/2012,10.59
9/20/2012,10.44
9/21/2012,10.4
9/24/2012,10.32
9/25/2012,10.09
9/26/2012,10.01
9/27/2012,10.02
9/28/2012,9.86
10/1/2012,9.93
10/2/2012,9.79
10/3/2012,9.94
10/4/2012,10.11
10/5/2012,10.16
10/8/2012,10.05
10/9/2012,10.1
10/10/2012,9.98
10/11/2012,10.14
10/12/2012,10.12
10/15/2012,10.22
10/16/2012,10.3
10/17/2012,10.41
10/18/2012,10.43
10/19/2012,10.18
10/22/2012,10.17
10/23/2012,10
10/24/2012,10.17
10/25/2012,10.39
10/26/2012,10.36
10/31/2012,11.16
11/1/2012,11.25
11/2/2012,11.17
11/5/2012,11.25
11/6/2012,11.42
11/7/2012,11.06
11/8/2012,10.9
11/9/2012,10.93
11/12/2012,10.97
11/13/2012,11
11/14/2012,10.67
11/15/2012,10.57
11/16/2012,10.5
11/19/2012,10.83
11/20/2012,10.85
11/21/2012,10.92
11/23/2012,11.1
11/26/2012,11.11
11/27/2012,11.1
11/28/2012,11.25
11/29/2012,11.53
11/30/2012,11.45
12/3/2012,11.41
12/4/2012,11.31
12/5/2012,11.31
12/6/2012,11.24
12/7/2012,11.48
12/10/2012,11.47
12/11/2012,11.49
12/12/2012,11.47
12/13/2012,11.27
12/14/2012,11.1
12/17/2012,11.39
12/18/2012,11.67
12/19/2012,11.73
12/20/2012,11.77
12/21/2012,11.86
12/24/2012,12.4
12/26/2012,12.79
12/27/2012,12.76
12/28/2012,12.87
12/31/2012,12.95
1/2/2013,13.2
1/3/2013,13.46
1/4/2013,13.57
1/7/2013,13.43
1/8/2013,13.35
1/9/2013,13.47
1/10/2013,13.83
1/11/2013,14
1/14/2013,13.99
1/15/2013,14.3
1/16/2013,14.22
1/17/2013,14.22
1/18/2013,14.11
1/22/2013,14.17
1/23/2013,13.88
1/24/2013,13.87
1/25/2013,13.68
1/28/2013,13.78
1/29/2013,13.14
1/30/2013,12.93
1/31/2013,12.95
2/1/2013,13.02
2/4/2013,12.88
2/5/2013,13.18
2/6/2013,13.2
2/7/2013,13.07
2/8/2013,13.1
2/11/2013,13.11
2/12/2013,13.08
2/13/2013,13.04
2/14/2013,13.11
2/15/2013,13.02
2/19/2013,12.99
2/20/2013,12.6
2/21/2013,12.39
2/22/2013,12.48
2/25/2013,12.13
2/26/2013,12.34
2/27/2013,12.76
2/28/2013,12.61
3/1/2013,12.61
3/4/2013,12.75
3/5/2013,12.87
3/6/2013,12.89
3/7/2013,12.83
3/8/2013,12.98
3/11/2013,13.34
3/12/2013,13.39
3/13/2013,13.4
3/14/2013,13.43
3/15/2013,13.45
3/18/2013,13.26
3/19/2013,13.16
3/20/2013,13.36
3/21/2013,13.26
3/22/2013,13.26
3/25/2013,13.29
3/26/2013,13.31
3/27/2013,13.22
3/28/2013,13.15
4/1/2013,12.9
4/2/2013,13.01
4/3/2013,12.68
4/4/2013,12.65
4/5/2013,12.44
4/8/2013,12.78
4/9/2013,12.8
4/10/2013,13.12
4/11/2013,13.55
4/12/2013,13.53
4/15/2013,12.95
4/16/2013,13.12
4/17/2013,12.93
4/18/2013,12.75
4/19/2013,12.93
4/22/2013,13.06
4/23/2013,13.36
4/24/2013,13.33
4/25/2013,13.47
4/26/2013,13.67
4/29/2013,13.66
4/30/2013,13.71
5/1/2013,13.38
5/2/2013,13.41
5/3/2013,13.83
5/6/2013,14.09
5/7/2013,14.19
5/8/2013,14.21
5/9/2013,14.2
5/10/2013,14.11
5/13/2013,14.01
5/14/2013,14.27
5/15/2013,14.67
5/16/2013,14.64
5/17/2013,15.08
5/20/2013,15.05
5/21/2013,14.95
5/22/2013,14.97
5/23/2013,14.81
5/24/2013,14.79
5/28/2013,15.28
5/29/2013,15.63
5/30/2013,15.9
5/31/2013,15.68
6/3/2013,15.89
6/4/2013,15.78
6/5/2013,15.25
6/6/2013,15.44
6/7/2013,15.73
6/10/2013,15.71
6/11/2013,15.51
6/12/2013,15.37
6/13/2013,15.58
6/14/2013,15.37
6/17/2013,15.55
6/18/2013,15.65
6/19/2013,15.32
6/20/2013,14.82
6/21/2013,15
6/24/2013,14.67
6/25/2013,14.97
6/26/2013,15.29
6/27/2013,15.65
6/28/2013,15.47
7/1/2013,15.74
7/2/2013,16.18
7/3/2013,16.43
7/5/2013,16.700001
7/8/2013,16.809999
7/9/2013,16.84
7/10/2013,16.719999
7/11/2013,16.98
7/12/2013,17.110001
7/15/2013,17.120001
7/16/2013,16.6
7/17/2013,16.780001
7/18/2013,16.93
7/19/2013,16.76
7/22/2013,17.040001
7/23/2013,16.940001
7/24/2013,17.370001
7/25/2013,16.959999
7/26/2013,17.02
7/29/2013,17.08
7/30/2013,17.08
7/31/2013,16.879999
8/1/2013,17.190001
8/2/2013,17.5
8/5/2013,17.190001
8/6/2013,17.030001
8/7/2013,16.77
8/8/2013,16.98
8/9/2013,17.02
8/12/2013,17.07
8/13/2013,17.059999
8/14/2013,16.889999
8/15/2013,16.43
8/16/2013,16.299999
8/19/2013,16.120001
8/20/2013,16.309999
8/21/2013,16.25
8/22/2013,16.41
8/23/2013,16.450001
8/26/2013,16.41
8/27/2013,15.88
8/28/2013,16.02
8/29/2013,16.5
8/30/2013,16.190001
9/3/2013,16.34
9/4/2013,16.91
9/5/2013,17.299999
9/6/2013,17
9/9/2013,17.309999
9/10/2013,17.549999
9/11/2013,17.540001
9/12/2013,17.389999
9/13/2013,17.35
9/16/2013,17.35
9/17/2013,17.440001
9/18/2013,17.629999
9/19/2013,17.66
9/20/2013,17.389999
9/23/2013,17.200001
9/24/2013,17.26
9/25/2013,17.190001
9/26/2013,17.27
9/27/2013,17.049999
9/30/2013,16.870001
10/1/2013,17.190001
10/2/2013,17.209999
10/3/2013,16.950001
10/4/2013,17.09
10/7/2013,16.809999
10/8/2013,16.5
