ROLLCALL_WEEK,WTD SALES,MTD SALES,YTD SALES,WTD QUOTA,MTD QUOTA,YTD QUOTA,WTD PERCENTAGE,MTD PERCENTAGE,YTD PERCENTAGE
201001,1636.5,1636.5,1636.5,2069.2,2069.2,2069.2,79.1%,79.1%,79.1%
201002,4017.5,5654,5654,3499.6,5599.4,5599.4,114.8%,101%,101%
201003,3991.1,9645.1,9645.1,3503.4,9108.8,9108.8,113.9%,105.9%,105.9%
201004,7253.2,16898.3,16898.3,4906.8,14019.6,14019.6,147.8%,120.5%,120.5%
201005,2124.3,2124.3,19022.6,2013.3,2013.3,16032.8,105.5%,105.5%,118.6%
201006,3251.1,5375.4,22273.7,3020,5033.3,19052.8,107.7%,106.8%,116.9%
201007,2485,7860.4,24758.7,4026.6,9059.8,23079.4,61.7%,86.8%,107.3%
201008,2853.2,10713.6,27611.9,5033.3,14093.1,28112.7,56.7%,76%,98.2%
201009,10270.2,20983.8,37882.1,6039.8,20133,34152.5,170%,104.2%,110.9%
201010,1673,1673,39555.1,3579,3579,37731.5,46.7%,46.7%,104.8%
201011,2447.2,4120.2,42002.3,5964.9,9543.9,43696.4,41%,43.2%,96.1%
201012,3900.5,8020.7,45902.8,5964.9,15508.9,49661.4,65.4%,51.7%,92.4%
201013,14300.4,22321.1,60203.2,8350.9,23859.7,58012.2,171.2%,93.6%,103.8%
201014,1938.3,1938.3,62141.5,4035.2,4035.2,62047.5,48%,48%,100.2%
201015,3753.6,5691.9,65895.1,6725.3,10760.6,68772.8,55.8%,52.9%,95.8%
201016,3947.9,9639.8,69843,6725.3,17485.9,75498.1,58.7%,55.1%,92.5%
201017,13078.9,22718.7,82921.9,9415.4,26901.3,84913.5,138.9%,84.5%,97.7%
201018,1927,1927,84848.9,3017.7,3017.7,87931.3,63.9%,63.9%,96.5%
201019,4486.3,6413.3,89335.2,4526.7,7544.4,92457.9,99.1%,85%,96.6%
201020,6101.1,12514.4,95436.3,6035.4,13579.8,98493.4,101.1%,92.2%,96.9%
201021,8549.8,21064.2,103986.1,7544.4,21124.2,106037.7,113.3%,99.7%,98.1%
201022,15280.1,36344.3,119266.2,9053.2,30177.4,115090.9,168.8%,120.4%,103.6%
201023,765.4,765.4,120031.6,2951,2951,118041.9,25.9%,25.9%,101.7%
201024,4788.7,5554.1,124820.3,4918.3,7869.3,122960.2,97.4%,70.6%,101.5%
201025,4851.1,10405.2,129671.4,4918.3,12787.5,127878.4,98.6%,81.4%,101.4%
201026,11692.9,22098.1,141364.3,6885.5,19673,134763.9,169.8%,112.3%,104.9%
201027,554.8,554.8,141919.1,2965.2,2965.2,137729.2,18.7%,18.7%,103%
201028,13788.1,14342.9,155707.2,4942,7907.3,142671.2,279%,181.4%,109.1%
201029,-3723.9,10619,151983.3,4942,12849.3,147613.2,-75.4%,82.6%,103%
201030,8535.9,19154.9,160519.2,6918.8,19768.1,154532,123.4%,96.9%,103.9%
201031,2828.3,2828.3,163347.5,2266.9,2266.9,156798.9,124.8%,124.8%,104.2%
201032,3056.6,5884.9,166404.1,3400.5,5667.4,160199.4,89.9%,103.8%,103.9%
201033,3256.1,9141,169660.2,4533.9,10201.3,164733.3,71.8%,89.6%,103%
201034,4878.5,14019.5,174538.7,5667.4,15868.8,170400.7,86.1%,88.3%,102.4%
201035,10215.1,24234.6,184753.8,6800.8,22669.6,177201.6,150.2%,106.9%,104.3%
201036,2642.1,2642.1,187395.9,3049.4,3049.4,180251,86.6%,86.6%,104%
201037,3895.7,6537.8,191291.6,5082.3,8131.7,185333.3,76.7%,80.4%,103.2%
201038,3610.8,10148.6,194902.4,5082.3,13214,190415.6,71%,76.8%,102.4%
201039,10047.6,20196.2,204950,7115.2,20329.2,197530.8,141.2%,99.3%,103.8%
201040,1156.8,1156.8,206106.8,3018.2,3018.2,200549,38.3%,38.3%,102.8%
201041,3826.9,4983.7,209933.7,5030.3,8048.5,205579.3,76.1%,61.9%,102.1%
201042,5024.6,10008.3,214958.3,5030.3,13078.8,210609.5,99.9%,76.5%,102.1%
201043,10567.8,20576.1,225526.1,7042.4,20121.1,217651.9,150.1%,102.3%,103.6%
201044,1509.1,1509.1,227035.2,2497.1,2497.1,220149,60.4%,60.4%,103.1%
201045,2974.3,4483.3,230009.4,3745.7,6242.8,223894.6,79.4%,71.8%,102.7%
201046,3338.7,7822.1,233348.2,4994.1,11236.9,228888.8,66.9%,69.6%,101.9%
201047,3870.7,11692.8,237218.9,6242.8,17479.6,235131.5,62%,66.9%,100.9%
201048,9771.6,21464.4,246990.5,7491.2,24970.8,242622.7,130.4%,86%,101.8%
201049,217.9,217.9,247208.4,4160.9,4160.9,246783.6,5.2%,5.2%,100.2%
201050,4579.8,4797.7,251788.2,6934.8,11095.7,253718.4,66%,43.2%,99.2%
201051,5140.7,9938.4,256928.9,6934.8,18030.5,260653.2,74.1%,55.1%,98.6%
201052,25056.9,34995.4,281985.8,9708.7,27739.1,270361.9,258.1%,126.2%,104.3%
201101,740.4,740.4,740.4,3701.3,3701.3,3701.3,20%,20%,20%
201102,1677.8,2418.2,2418.2,3781.7,7563.4,7563.4,44.4%,32%,32%
201103,2227.6,4645.8,4645.8,3890.6,11671.8,11671.8,57.3%,39.8%,39.8%
201104,8655.4,13301.3,13301.3,3944.6,15778.5,15778.5,219.4%,84.3%,84.3%
201105,999.6,999.6,14300.9,4414.1,4414.1,20192.6,22.6%,22.6%,70.8%
201106,2413.7,3413.4,16714.6,4414.1,8828.2,24606.6,54.7%,38.7%,67.9%
201107,1751.3,5164.7,18465.9,4414.1,13242.2,29020.7,39.7%,39%,63.6%
201108,2794.1,7958.8,21260,4417.8,17671.3,33463.6,63.2%,45%,63.5%
201109,10660,18618.8,31920,4417.8,22089.1,37881.4,241.3%,84.3%,84.3%
201110,1302,1302,33222.1,5969.1,5969.1,43850.4,21.8%,21.8%,75.8%
201111,2162.3,3464.3,35384.4,5969.1,11938.1,49819.5,36.2%,29%,71%
201112,4056.5,7520.8,39440.8,5969.1,17907.2,55788.6,68%,42%,70.7%
201113,15112.2,22633,54553.1,5977.1,23908.2,61841.6,252.8%,94.7%,88.2%
201114,1636,1636,56189.1,6773.8,6773.8,68615.4,24.2%,24.2%,81.9%
201115,3299.4,4935.4,59488.5,6773.8,13547.6,75389.2,48.7%,36.4%,78.9%
201116,3896.5,8831.9,63385,6773.8,20321.4,82163,57.5%,43.5%,77.1%
201117,12683.5,21515.4,76068.5,6773.8,27095.2,88936.8,187.2%,79.4%,85.5%
201118,1932.1,1932.1,78000.6,7090.7,7090.7,96027.6,27.2%,27.2%,81.2%
201119,4355.9,6288,82356.6,7090.7,14181.5,103118.3,61.4%,44.3%,79.9%
201120,5679.7,11967.8,88036.3,7090.7,21272.2,110209,80.1%,56.3%,79.9%
201121,11885.1,23852.8,99921.4,7090.7,28362.9,117299.7,167.6%,84.1%,85.2%
201122,14487.7,38340.5,114409.1,7090.7,35453.6,124390.5,204.3%,108.1%,92%
201123,172.9,172.9,114582,5905.2,5905.2,130295.6,2.9%,2.9%,87.9%
201124,4018.4,4191.3,118600.4,5905.2,11810.3,136200.8,68%,35.5%,87.1%
201125,6013.1,10204.4,124613.5,5905.2,17715.5,142106,101.8%,57.6%,87.7%
201126,12785.9,22990.3,137399.3,5905.2,23620.6,148011.1,216.5%,97.3%,92.8%
201127,2200.3,2200.3,139599.6,5089,5089,153100.1,43.2%,43.2%,91.2%
201128,2804.3,5004.6,142403.9,5089,10178,158189.1,55.1%,49.2%,90%
201129,5191.8,10196.4,147595.7,5089,15267,163278.1,102%,66.8%,90.4%
201130,9816.4,20012.8,157412.1,5089,20356,168367.1,192.9%,98.3%,93.5%
201131,1445.6,1445.6,158857.8,5149.8,5149.8,173516.9,28.1%,28.1%,91.6%
201132,2198.7,3644.3,161056.5,5149.8,10299.6,178666.6,42.7%,35.4%,90.1%
201133,1406.3,5050.6,162462.8,5149.8,15449.3,183816.4,27.3%,32.7%,88.4%
201134,4748.4,9799,167211.1,5149.8,20599.1,188966.2,92.2%,47.6%,88.5%
201135,12607.6,22406.6,179818.8,5149.8,25748.9,194116,244.8%,87%,92.6%
201136,646.3,646.3,180465.1,5371.2,5371.2,199487.2,12%,12%,90.5%
201137,2096.1,2742.4,182561.1,5371.2,10742.4,204858.3,39%,25.5%,89.1%
201138,4212.5,6954.9,186773.6,5371.2,16113.6,210229.5,78.4%,43.2%,88.8%
201139,13397.9,20352.7,200171.5,5371.2,21484.8,215600.7,249.4%,94.7%,92.8%
201140,1557.9,1557.9,201729.4,5495.7,5495.7,221096.5,28.3%,28.3%,91.2%
201141,2905.1,4462.9,204634.4,5495.7,10991.5,226592.2,52.9%,40.6%,90.3%
201142,3244.2,7707.1,207878.6,5495.7,16487.2,232087.9,59%,46.7%,89.6%
201143,9423.8,17130.9,217302.4,5499.4,21997.7,237743.8,171.4%,77.9%,91.4%
201144,2405.8,2405.8,219708.2,5245.8,5245.8,242989.6,45.9%,45.9%,90.4%
201145,3029,5434.8,222737.2,5245.8,10491.5,248235.3,57.7%,51.8%,89.7%
201146,4204.6,9639.4,226941.8,5245.8,15737.3,253481.1,80.2%,61.3%,89.5%
201147,3346.7,12986.1,230288.5,5245.8,20983,258726.9,63.8%,61.9%,89%
201148,12511.7,25497.8,242800.2,5245.8,26228.8,263972.6,238.5%,97.2%,92%
201149,300.4,300.4,243100.6,8091.2,8091.2,272063.9,3.7%,3.7%,89.4%
201150,5228.6,5529,248329.2,8091.2,16182.5,280155.1,64.6%,34.2%,88.6%
201151,3915.5,9444.4,252244.7,8091.2,24273.7,288246.3,48.4%,38.9%,87.5%
201152,18144.8,27589.2,270389.5,8160,32639.8,294000,222.4%,84.5%,92%
201201,980.1,980.1,980.1,3842.1,3842.1,3842.1,25.5%,25.5%,25.5%
201202,2535.3,3515.3,3515.3,3842.1,7684.2,7684.2,66%,45.7%,45.7%
201203,3700.8,7216.1,7216.1,3842.1,11526.4,11526.4,96.3%,62.6%,62.6%
201204,10668.2,17884.3,17884.3,3842.1,15368.5,15368.5,277.7%,116.4%,116.4%
201205,-115.6,-115.6,17768.7,4204.4,4204.4,19572.9,-2.7%,-2.7%,90.8%
201206,1856.8,1741.1,19625.4,4204.4,8408.9,23777.4,44.2%,20.7%,82.5%
201207,3911.9,5653.1,23537.4,4204.4,12613.3,27981.8,93%,44.8%,84.1%
201208,3833.1,9486.2,27370.5,4204.4,16817.8,32186.3,91.2%,56.4%,85%
201209,11936.1,21422.3,39306.6,4204.4,21022.2,36390.7,283.9%,101.9%,108%
201210,1219.6,1219.6,40526.3,6301.7,6301.7,42692.4,19.4%,19.4%,94.9%
201211,2153.5,3373.1,42679.8,6301.7,12603.4,48994.1,34.2%,26.8%,87.1%
201212,5315.2,8688.3,47994.9,6301.7,18905.1,55295.8,84.3%,46%,86.8%
201213,15872.2,24560.5,63867.1,6301.7,25206.8,61597.5,251.9%,97.4%,103.7%
201214,197.2,197.2,64064.3,6881.4,6881.4,68478.9,2.9%,2.9%,93.6%
201215,1999.7,2196.9,66064,6881.4,13762.7,75360.3,29.1%,16%,87.7%
201216,6971.9,9168.8,73036,6881.4,20644.1,82241.6,101.3%,44.4%,88.8%
201217,17829.8,26998.7,90865.8,6881.4,27525.5,89123,259.1%,98.1%,102%
201218,680.7,680.7,91546.6,7599.2,7599.2,96722.2,9%,9%,94.6%
201219,2123.5,2804.3,93670.1,7599.2,15198.4,104321.4,27.9%,18.5%,89.8%
201220,8217.5,11021.8,101887.6,7599.2,22797.6,111920.6,108.1%,48.3%,91%
201221,10677.5,21699.2,112565.1,7599.2,30396.8,119519.8,140.5%,71.4%,94.2%
201222,16206.2,37905.5,128771.3,7599.2,37996,127119,213.3%,99.8%,101.3%
201223,1000.2,1000.2,129771.5,5998.6,5998.6,133117.6,16.7%,16.7%,97.5%
201224,1552.2,2552.3,131323.6,5998.6,11997.1,139116.1,25.9%,21.3%,94.4%
201225,6751.8,9304.1,138075.4,5998.6,17995.7,145114.7,112.6%,51.7%,95.1%
201226,16806.1,26110.2,154881.5,5998.6,23994.3,151113.3,280.2%,108.8%,102.5%
201227,-232.7,-232.7,154648.8,5166.5,5166.5,156279.7,-4.5%,-4.5%,99%
201228,1217.1,984.4,155865.9,5166.5,10333,161446.2,23.6%,9.5%,96.5%
201229,7331.8,8316.3,163197.7,5166.5,15499.4,166612.7,141.9%,53.7%,98%
201230,11244.3,19560.6,174442,5166.5,20665.9,171779.2,217.6%,94.7%,101.6%
201231,1054.9,1054.9,175496.9,5151.4,5151.4,176930.6,20.5%,20.5%,99.2%
201232,908.6,1963.5,176405.5,5151.4,10302.9,182082,17.6%,19.1%,96.9%
201233,901.3,2864.8,177306.8,5151.4,15454.3,187233.5,17.5%,18.5%,94.7%
201234,6350.6,9215.4,183657.4,5151.4,20605.7,192384.9,123.3%,44.7%,95.5%
201235,12141.5,21356.8,195798.8,5151.4,25757.2,197536.4,235.7%,82.9%,99.1%
201236,1696.2,1696.2,197495.1,5391.1,5391.1,202927.4,31.5%,31.5%,97.3%
201237,5.4,1701.6,197500.4,5391.1,10782.2,208318.5,.1%,15.8%,94.8%
201238,6895,8596.6,204395.5,5391.1,16173.3,213709.6,127.9%,53.2%,95.6%
